source	target	value	change
HMF	HMF	5	HMF_to_HMF
HMF	IMF	5	HMF_to_IMF
HMF	LMF-Mixed	1	HMF_to_LMF-Mixed
HMF	LMF-OC	4	HMF_to_LMF-OC
HMF	LMF-TAM	2	HMF_to_LMF-TAM
IMF	HMF	2	IMF_to_HMF
IMF	LMF-Mixed	1	IMF_to_LMF-Mixed
LMF-OC	HMF	1	LMF-OC_to_HMF
LMF-OC	LMF-OC	3	LMF-OC_to_LMF-OC
LMF-TAM	LMF-Mixed	1	LMF-TAM_to_LMF-Mixed
