case_barcode	tumor_barcode_a	tumor_barcode_b	variant_type	n	s	r	i	e	mf_s	mf_r	mf_i	mf_is	mf_rs
GLSS-SN-0013	GLSS-SN-0013-TP-01D-WGS-SIA18T	GLSS-SN-0013-R2-01D-WGS-D7EM0Y	TNP	5	0	0	3	2	0	0	0.0011	0.0011	0
GLSS-SN-0015	GLSS-SN-0015-TP-01D-WGS-A2C1OP	GLSS-SN-0015-R2-01D-WGS-5MPD7P	DEL	1842	271	758	271	542	0.0955	0.2668	0.0957	0.1914	0.3622
GLSS-SN-0015	GLSS-SN-0015-TP-01D-WGS-A2C1OP	GLSS-SN-0015-R2-01D-WGS-5MPD7P	DNP	137	23	71	24	19	0.0081	0.025	0.0085	0.0166	0.0331
GLSS-SN-0015	GLSS-SN-0015-TP-01D-WGS-A2C1OP	GLSS-SN-0015-R2-01D-WGS-5MPD7P	INS	539	60	157	84	238	0.0212	0.0553	0.0297	0.0508	0.0764
GLSS-SN-0015	GLSS-SN-0015-TP-01D-WGS-A2C1OP	GLSS-SN-0015-R2-01D-WGS-5MPD7P	SNP	12662	4885	3900	3065	812	1.7222	1.3727	1.0823	2.8073	3.0922
GLSS-SN-0015	GLSS-SN-0015-TP-01D-WGS-A2C1OP	GLSS-SN-0015-R2-01D-WGS-5MPD7P	TNP	7	1	4	2	0	4e-04	0.0014	7e-04	0.0011	0.0018
GLSS-SN-0016	GLSS-SN-0016-TP-01D-WGS-UMRP2Z	GLSS-SN-0016-R1-01D-WGS-5ZOY6H	DEL	1017	200	109	281	427	0.0708	0.0387	0.0992	0.1698	0.1097
GLSS-SN-0016	GLSS-SN-0016-TP-01D-WGS-UMRP2Z	GLSS-SN-0016-R1-01D-WGS-5ZOY6H	DNP	98	25	25	31	17	0.0088	0.0089	0.0109	0.0198	0.0177
GLSS-SN-0016	GLSS-SN-0016-TP-01D-WGS-UMRP2Z	GLSS-SN-0016-R1-01D-WGS-5ZOY6H	INS	440	75	47	139	179	0.0265	0.0167	0.0491	0.0755	0.0433
GLSS-SN-0016	GLSS-SN-0016-TP-01D-WGS-UMRP2Z	GLSS-SN-0016-R1-01D-WGS-5ZOY6H	SNP	14417	4473	3229	3253	3462	1.5831	1.1461	1.1481	2.7268	2.7336
GLSS-SN-0016	GLSS-SN-0016-TP-01D-WGS-UMRP2Z	GLSS-SN-0016-R1-01D-WGS-5ZOY6H	TNP	1	0	0	0	1	0	0	0	0	0
